"","State","Industry","Code","Month","Change"
"1","Alabama","Construction","AL","Mar",-1
"2","Alaska","Construction","AK","Mar",0
"3","Arizona","Construction","AZ","Mar",-2
"4","Arkansas","Construction","AR","Mar",0
"5","California","Construction","CA","Mar",-19
"6","Colorado","Construction","CO","Mar",-1
"7","Connecticut","Construction","CT","Mar",0
"8","Delaware","Construction","DE","Mar",0
"9","District of Columbia","Construction","DC","Mar",0
"10","Florida","Construction","FL","Mar",-2
"11","Georgia","Construction","GA","Mar",0
"12","Hawaii","Construction","HI","Mar",0
"13","Idaho","Construction","ID","Mar",1
"14","Illinois","Construction","IL","Mar",-4
"15","Indiana","Construction","IN","Mar",-3
"16","Iowa","Construction","IA","Mar",-1
"17","Kansas","Construction","KS","Mar",0
"18","Kentucky","Construction","KY","Mar",0
"19","Louisiana","Construction","LA","Mar",-3
"20","Maine","Construction","ME","Mar",0
"21","Maryland","Construction","MD","Mar",0
"22","Massachusetts","Construction","MA","Mar",-1
"23","Michigan","Construction","MI","Mar",-4
"24","Minnesota","Construction","MN","Mar",-1
"25","Mississippi","Construction","MS","Mar",-1
"26","Missouri","Construction","MO","Mar",-2
"27","Montana","Construction","MT","Mar",0
"28","Nebraska","Construction","NE","Mar",0
"29","Nevada","Construction","NV","Mar",4
"30","New Hampshire","Construction","NH","Mar",0
"31","New Jersey","Construction","NJ","Mar",-1
"32","New Mexico","Construction","NM","Mar",1
"33","New York","Construction","NY","Mar",-4
"34","North Carolina","Construction","NC","Mar",0
"35","North Dakota","Construction","ND","Mar",-1
"36","Ohio","Construction","OH","Mar",-2
"37","Oklahoma","Construction","OK","Mar",0
"38","Oregon","Construction","OR","Mar",1
"39","Pennsylvania","Construction","PA","Mar",-6
"40","Puerto Rico","Construction",NA,"Mar",-1
"41","Rhode Island","Construction","RI","Mar",0
"42","South Carolina","Construction","SC","Mar",-1
"43","South Dakota","Construction","SD","Mar",1
"44","Tennessee","Construction","TN","Mar",1
"45","Texas","Construction","TX","Mar",-5
"46","Utah","Construction","UT","Mar",-1
"47","Vermont","Construction","VT","Mar",0
"48","Virgin Islands","Construction",NA,"Mar",0
"49","Virginia","Construction","VA","Mar",-1
"50","Washington","Construction","WA","Mar",3
"51","West Virginia","Construction","WV","Mar",0
"52","Wisconsin","Construction","WI","Mar",1
"53","Wyoming","Construction","WY","Mar",0
