"","State","Filed week ended","Initial Claims","Reflecting Week Ended","Continued Claims","Covered Employment","Insured Unemployment Rate"
"1","Alabama","01/04/2020",4.578,"12/28/2019",18523,1923741,0.96
"2","Alabama","01/11/2020",3.629,"01/04/2020",21143,1923741,1.1
"3","Alabama","01/18/2020",2.483,"01/11/2020",17402,1923741,0.9
"4","Alabama","01/25/2020",2.129,"01/18/2020",18390,1923741,0.96
"5","Alabama","02/01/2020",2.17,"01/25/2020",17284,1923741,0.9
"6","Alabama","02/08/2020",2.176,"02/01/2020",16745,1923741,0.87
"7","Alabama","02/15/2020",1.981,"02/08/2020",16571,1923741,0.86
"8","Alabama","02/22/2020",1.735,"02/15/2020",16059,1923741,0.83
"9","Alabama","02/29/2020",1.575,"02/22/2020",14721,1923741,0.77
"10","Alabama","03/07/2020",1.663,"02/29/2020",13657,1923741,0.71
"11","Alabama","03/14/2020",1.819,"03/07/2020",13070,1923741,0.68
"12","Alabama","03/21/2020",10.892,"03/14/2020",12487,1923741,0.65
"13","Alabama","03/28/2020",80.984,"03/21/2020",18083,1923741,0.94
"14","Alabama","04/04/2020",106.739,"03/28/2020",52176,1923741,2.71
"15","Alabama","04/11/2020",77.515,"04/04/2020",95325,1929897,4.94
"16","Alabama","04/18/2020",66.432,"04/11/2020",144327,1929897,7.48
"17","Alabama","04/25/2020",74.966,"04/18/2020",173855,1929897,9.01
"18","Alabama","05/02/2020",28.985,"04/25/2020",214684,1929897,11.12
"19","Alabama","05/09/2020",26.666,"05/02/2020",216856,1929897,11.24
"20","Alabama","05/16/2020",25.15,"05/09/2020",203677,1929897,10.55
"21","Alabama","05/23/2020",27.919,"05/16/2020",190205,1929897,9.86
"22","Alabama","05/30/2020",21.335,"05/23/2020",183565,1929897,9.51
"23","Alabama","06/06/2020",19.949,"05/30/2020",180245,1929897,9.34
"24","Alabama","06/13/2020",18.367,"06/06/2020",163982,1929897,8.5
"25","Alabama","06/20/2020",18.671,"06/13/2020",150002,1929897,7.77
"26","Alabama","06/27/2020",18.338,"06/20/2020",141450,1929897,7.33
"27","Alabama","07/04/2020",19.056,"06/27/2020",138272,1929897,7.16
"28","Alaska","01/04/2020",0.981,"12/28/2019",10177,306493,3.32
"29","Alaska","01/11/2020",1.371,"01/04/2020",9310,307329,3.03
"30","Alaska","01/18/2020",1.181,"01/11/2020",9984,307329,3.25
"31","Alaska","01/25/2020",1.003,"01/18/2020",9496,307329,3.09
"32","Alaska","02/01/2020",1.122,"01/25/2020",9579,307329,3.12
