"","FIPS Code","State and area","Year","Month","Civilian non-institutional population","Total Labor Force","Percent of population...7","Total Labor force","Percent of population...9","Total Unemployment","Unemployment Rate"
"1","01","Alabama","2020","01",3871113,2247721,58.1,2186652,56.5,61069,2.7
"2","02","Alaska","2020","01",544147,346278,63.6,325347,59.8,20931,6
"3","04","Arizona","2020","01",5777677,3604805,62.4,3442732,59.6,162073,4.5
"4","05","Arkansas","2020","01",2348957,1366308,58.2,1318240,56.1,48068,3.5
"5","06","California","2020","01",31176732,19509644,62.6,18756375,60.2,753269,3.9
"6","037","Los Angeles County","2020","01",8060151,5166636,64.1,4945318,61.4,221318,4.3
"7","08","Colorado","2020","01",4585337,3180821,69.4,3101414,67.6,79407,2.5
"8","09","Connecticut","2020","01",2885511,1929340,66.9,1857116,64.4,72224,3.7
"9","10","Delaware","2020","01",783263,488917,62.4,469519,59.9,19398,4
"10","11","District of Columbia","2020","01",579170,413042,71.3,391465,67.6,21577,5.2
"11","12","Florida","2020","01",17546441,10440312,59.5,10148929,57.8,291383,2.8
"12","13","Georgia","2020","01",8253244,5147616,62.4,4988005,60.4,159611,3.1
"13","15","Hawaii","2020","01",1090466,668169,61.3,650377,59.6,17792,2.7
"14","16","Idaho","2020","01",1386678,890069,64.2,865321,62.4,24748,2.8
"15","17","Illinois","2020","01",9991645,6417226,64.2,6189437,61.9,227789,3.5
"16","18","Indiana","2020","01",5267251,3392922,64.4,3286146,62.4,106776,3.1
"17","19","Iowa","2020","01",2472780,1754704,71,1704978,68.9,49726,2.8
"18","20","Kansas","2020","01",2233129,1493934,66.9,1447063,64.8,46871,3.1
"19","21","Kentucky","2020","01",3499012,2084752,59.6,1994520,57,90232,4.3
"20","22","Louisiana","2020","01",3575222,2107207,58.9,1995892,55.8,111315,5.3
"21","23","Maine","2020","01",1113662,694174,62.3,672966,60.4,21208,3.1
"22","24","Maryland","2020","01",4768645,3276524,68.7,3167463,66.4,109061,3.3
"23","25","Massachusetts","2020","01",5647532,3836148,67.9,3729899,66,106249,2.8
"24","26","Michigan","2020","01",8003316,4946724,61.8,4759515,59.5,187209,3.8
"25","27","Minnesota","2020","01",4442842,3122744,70.3,3023966,68.1,98778,3.2
"26","28","Mississippi","2020","01",2289087,1279329,55.9,1209534,52.8,69795,5.5
"27","29","Missouri","2020","01",4822794,3111534,64.5,3001253,62.2,110281,3.5
"28","30","Montana","2020","01",854870,536520,62.8,517842,60.6,18678,3.5
"29","31","Nebraska","2020","01",1486126,1040313,70,1009700,67.9,30613,2.9
"30","32","Nevada","2020","01",2451444,1555270,63.4,1498971,61.1,56299,3.6
"31","33","New Hampshire","2020","01",1125658,778202,69.1,758262,67.4,19940,2.6
"32","34","New Jersey","2020","01",7076496,4551684,64.3,4379423,61.9,172261,3.8
"33","35","New Mexico","2020","01",1645105,961100,58.4,915430,55.6,45670,4.8
"34","36","New York","2020","01",15637099,9542921,61,9178410,58.7,364511,3.8
"35","51000","New York city","2020","01",6714001,4054605,60.4,3911937,58.3,142668,3.5
"36","37","North Carolina","2020","01",8301726,5110632,61.6,4925741,59.3,184891,3.6
"37","38","North Dakota","2020","01",584185,404282,69.2,394947,67.6,9335,2.3
"38","39","Ohio","2020","01",9251398,5818790,62.9,5580352,60.3,238438,4.1
"39","40","Oklahoma","2020","01",3039935,1845422,60.7,1784815,58.7,60607,3.3
"40","41","Oregon","2020","01",3429482,2104158,61.4,2034344,59.3,69814,3.3
"41","42","Pennsylvania","2020","01",10286669,6549144,63.7,6242115,60.7,307029,4.7
"42","44","Rhode Island","2020","01",865428,557583,64.4,538637,62.2,18946,3.4
"43","45","South Carolina","2020","01",4096955,2387096,58.3,2330497,56.9,56599,2.4
"44","46","South Dakota","2020","01",675598,466500,69,450689,66.7,15811,3.4
"45","47","Tennessee","2020","01",5410974,3367254,62.2,3255324,60.2,111930,3.3
"46","48","Texas","2020","01",22128099,14180789,64.1,13686397,61.9,494392,3.5
"47","49","Utah","2020","01",2380180,1626802,68.3,1586763,66.7,40039,2.5
"48","50","Vermont","2020","01",518745,340538,65.6,332233,64,8305,2.4
"49","51","Virginia","2020","01",6693201,4453928,66.5,4335613,64.8,118315,2.7
"50","53","Washington","2020","01",6066011,3955240,65.2,3799772,62.6,155468,3.9
"51","54","West Virginia","2020","01",1443225,804830,55.8,764293,53,40537,5
"52","55","Wisconsin","2020","01",4646243,3110114,66.9,3000511,64.6,109603,3.5
"53","56","Wyoming","2020","01",451023,293281,65,282542,62.6,10739,3.7
"54","01","Alabama","2020","02",3872006,2243960,58,2184305,56.4,59655,2.7
"55","02","Alaska","2020","02",543956,345418,63.5,325323,59.8,20095,5.8
"56","04","Arizona","2020","02",5786902,3613043,62.4,3451805,59.6,161238,4.5
"57","05","Arkansas","2020","02",2349523,1367709,58.2,1319907,56.2,47802,3.5
"58","06","California","2020","02",31184208,19516042,62.6,18756714,60.1,759328,3.9
"59","037","Los Angeles County","2020","02",8058853,5179356,64.3,4955264,61.5,224092,4.3
"60","08","Colorado","2020","02",4591039,3186341,69.4,3106077,67.7,80264,2.5
"61","09","Connecticut","2020","02",2885425,1930453,66.9,1857872,64.4,72581,3.8
"62","10","Delaware","2020","02",783873,489276,62.4,470043,60,19233,3.9
"63","11","District of Columbia","2020","02",579359,414353,71.5,393016,67.8,21337,5.1
"64","12","Florida","2020","02",17565619,10455399,59.5,10164675,57.9,290724,2.8
"65","13","Georgia","2020","02",8261179,5156347,62.4,4995200,60.5,161147,3.1
"66","15","Hawaii","2020","02",1090210,669072,61.4,651215,59.7,17857,2.7
"67","16","Idaho","2020","02",1389423,891661,64.2,867822,62.5,23839,2.7
"68","17","Illinois","2020","02",9988984,6398665,64.1,6179880,61.9,218785,3.4
"69","18","Indiana","2020","02",5269797,3396229,64.4,3291040,62.5,105189,3.1
"70","19","Iowa","2020","02",2473213,1752621,70.9,1703351,68.9,49270,2.8
"71","20","Kansas","2020","02",2233436,1496525,67,1449736,64.9,46789,3.1
"72","21","Kentucky","2020","02",3499368,2084089,59.6,1995951,57,88138,4.2
"73","22","Louisiana","2020","02",3574497,2109980,59,2000126,56,109854,5.2
